economy,series,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
BEL,AG.LND.ARBL.ZS,,,,,,,,,,,28.4178947021396,27.8574489829559,27.4288728447565,27.5277750304948,27.6926120067253,27.7915141924637,27.7585467972176,27.6596446114792,27.8244815877098,27.6926120067253,27.4948076352487,27.1981010780338,26.4728183826196,26.9013945208189,26.934361916065,27.3464543566413,28.0025055220387,27.5607424257409,27.8752500573902,28.113268183905,28.3621892831377,28.3872237161409,28.3186856430773,28.3056863645307,
BEL,AG.PRD.CROP.XD,,,,,,,,,,,100.51,88.41,97.24,96.38,107.76,100.08,91.82,97.62,95.13,102.62,101.19,103.92,91.54,98.34,110.25,99.92,89.83,102.82,86.5,99.05,95.28,98.11,95.86,,
BEL,AG.PRD.FOOD.XD,,,,,,,,,,,98.39,94.77,97.87,95.41,98.9,93.4,91.24,93.49,90.22,92.73,95.84,96.71,91.38,95.83,101.8,101.32,96.87,102.61,98.91,101.26,101.9,102.85,100.0,,
BEL,AG.PRD.LVSK.XD,,,,,,,,,,,97.3,98.36,98.26,94.91,94.01,89.72,90.93,91.2,87.5,87.24,92.89,92.72,91.3,94.45,97.11,102.11,100.79,102.49,105.79,102.49,105.56,105.47,102.29,,
BEL,NV.AGR.TOTL.ZS,,,,,,1.30662347836539,1.32831141025288,1.34082101190755,1.25567547258707,1.07623533062933,1.17600527973714,1.10935029767163,1.03313414275776,1.0294445025288,1.02291054131515,0.840639973990251,0.907269380581052,0.887523940039387,0.712338067185966,0.718679660856589,0.847918635049212,0.726239843441003,0.84457469539348,0.764565477908541,0.716518219283319,0.750617272066574,0.673190543684684,0.729532583142538,0.664625571120094,0.718789583537128,0.712818023641571,0.654899384879513,0.671430411514796,0.774565666013089,0.791636827597192
DEU,AG.LND.ARBL.ZS,34.2880875318649,33.1080113424799,32.8444991836852,33.4440879926673,33.8145570164132,33.9014608994557,33.9024320375834,33.8977223893425,34.0352988367429,33.8758668118517,33.8271958733343,33.8578389223273,33.7986584876455,33.9067113901551,34.1141726639333,34.1323546278243,34.0272998394127,34.0637278802306,34.2253965522187,34.2646510427125,33.9845655105144,34.0687399586872,33.9530613415964,34.0403577161202,34.018343364861,33.9563148540962,33.6701396839936,33.694936600166,33.5766214437003,33.5270042073328,33.3838976501903,33.3667248633332,33.3667277307076,33.428726783619,
DEU,AG.PRD.CROP.XD,89.56,81.2,81.59,82.24,79.25,83.52,87.51,88.71,92.38,96.44,101.29,100.61,91.73,81.79,103.86,96.0,90.6,91.69,100.26,103.7,91.64,90.66,94.85,96.18,107.61,97.52,94.87,95.45,81.78,88.69,90.66,90.39,91.48,,
DEU,AG.PRD.FOOD.XD,99.54,92.12,87.29,86.23,83.33,85.8,87.92,88.53,89.95,92.66,93.72,94.16,89.99,86.1,95.66,92.16,90.14,91.83,96.41,98.31,94.55,95.21,96.12,97.08,102.97,99.27,97.76,97.5,91.87,94.41,95.45,94.49,92.71,,
DEU,AG.PRD.LVSK.XD,106.4,99.51,91.17,88.94,86.09,87.33,88.2,88.42,88.32,90.13,88.63,89.83,88.83,89.04,90.16,89.59,89.84,91.92,93.83,94.7,96.52,98.28,96.99,97.68,99.84,100.45,99.71,98.88,98.47,98.07,98.48,97.06,93.35,,
DEU,NV.AGR.TOTL.ZS,,1.06998573771213,0.988835539128248,0.977841510464679,0.993351541332521,1.03224855652577,1.06716928692911,1.03610244105776,0.97744658336259,0.96089041227783,0.996168402468,1.08333750848315,0.901338514680484,0.829342960804352,0.948871367267906,0.72605784900095,0.716599757643703,0.822076767549622,0.837028054130878,0.670417045914746,0.775984032180357,0.924638957956395,0.911412934754651,0.927130138706706,0.915606456087681,0.708512712866412,0.730531013610999,0.860007620510574,0.742451289010288,0.833126017731138,0.728659526127881,0.753895620719434,0.994638278032481,0.929156663056282,0.914397651173374
DNK,AG.LND.ARBL.ZS,64.025,63.7,63.475,63.325,59.125,57.975,58.05,59.125,59.15,57.35,57.025,57.3,56.9,56.65,56.725,58.3,58.675,57.65,60.05,60.775,60.525,62.475,60.45,60.19,60.8,58.791275,59.2625,59.185,59.71,59.8983,59.27325,58.925,59.0,59.125,
DNK,AG.PRD.CROP.XD,104.96,98.55,81.05,92.3,82.96,91.11,91.06,95.08,94.36,89.37,91.72,89.27,84.99,88.22,90.77,90.11,84.65,85.85,93.03,100.47,89.12,90.77,93.69,93.84,101.12,103.9,94.98,107.11,75.83,103.74,103.05,96.3,107.01,,
DNK,AG.PRD.FOOD.XD,94.06,93.4,89.1,95.44,92.16,95.1,94.8,96.31,98.19,96.68,97.17,97.93,97.49,98.58,100.01,98.74,95.49,97.19,98.0,98.1,97.02,98.67,98.74,97.3,99.93,101.24,98.83,102.11,92.87,100.59,102.64,102.97,103.83,,
DNK,AG.PRD.LVSK.XD,88.57,90.82,93.17,97.03,96.8,97.11,96.69,96.93,100.12,100.37,99.92,102.3,103.81,103.81,104.68,103.1,100.96,102.91,100.51,96.91,101.0,102.65,101.28,99.05,99.34,99.89,100.77,99.58,101.46,98.98,102.43,106.32,102.21,,
DNK,NV.AGR.TOTL.ZS,3.2807399838791,3.01659707418614,2.770482903403,2.6666867919779,2.58125029411355,2.83084838376944,2.76583528047113,2.613583999477,2.12314558817745,1.92043851886527,2.14953012591578,2.30981410923114,1.7548454579579,1.58700357166721,1.5968233470381,1.13056388790591,1.14680871658905,1.17038366975969,0.841682850350501,0.806945931238911,1.1884393485634,1.26832807403315,1.61758219917433,1.25664041508446,1.35342720224903,0.908318060929302,0.92879780499665,1.25985806734514,0.99704488734783,1.24122741169144,1.33752008668451,1.08103120928969,1.00228533729664,1.03787056976317,0.927722262099888
ESP,AG.LND.ARBL.ZS,30.7043889155855,30.5502162421913,30.4360884190293,29.9975973089861,29.6452026269422,28.1214960756047,28.9324042928079,28.6020342783918,27.3986865289124,26.9561909338459,26.8537074148297,26.2055684827088,25.8676659185636,26.0751988141263,26.0927921791738,25.8730890220201,25.4920036875225,25.2168860571818,25.0360866078589,25.0611639193037,25.0554988900222,24.8639673521645,25.1294456328342,24.3517722556526,24.5456908098599,24.5731005621812,24.6958948202833,24.529740774323,23.7873681820378,23.6449621650246,23.2994560606836,23.112437562789,23.3945131872425,23.0074340991168,
ESP,AG.PRD.CROP.XD,83.44,76.66,79.36,74.06,68.71,58.94,85.26,94.27,86.06,84.93,95.06,94.06,92.29,105.08,97.08,84.07,96.05,94.7,92.77,94.21,97.54,100.81,81.38,111.56,94.65,99.16,106.19,98.65,121.45,102.04,116.68,114.78,87.04,,
ESP,AG.PRD.FOOD.XD,77.71,74.33,75.99,72.74,69.07,63.49,81.25,87.57,85.07,84.69,91.79,92.28,92.14,101.13,95.08,86.08,94.41,93.74,93.5,92.45,95.48,98.64,85.87,104.22,94.5,99.39,106.12,101.65,117.73,106.52,117.43,116.79,98.83,,
ESP,AG.PRD.LVSK.XD,68.61,71.38,70.87,70.74,70.32,72.11,75.31,77.23,84.73,85.91,87.04,90.24,92.97,94.92,92.76,90.97,91.55,91.93,94.32,89.03,91.57,94.79,94.11,90.89,94.48,99.8,105.71,106.96,110.28,113.83,118.3,119.84,118.7,,
ESP,NV.AGR.TOTL.ZS,,,,,,3.87455758605481,4.37962474383674,4.29484499133863,4.14483430202733,3.81323898515226,3.7443114170073,3.67425723081839,3.48212189760772,3.42077756723389,3.11780935959045,2.75836581828682,2.40075384884813,2.4946614560374,2.35367195478016,2.24960158062983,2.41740898393438,2.3625185975353,2.39776671776239,2.60946207875576,2.52697678134345,2.72327046339292,2.81522075003094,2.80344676690393,2.70128254621885,2.51980122994951,2.78468031745976,2.76824927112995,2.36964000049424,2.6062235563618,2.75300596488807
FRA,AG.LND.ARBL.ZS,32.9989794971704,33.0852583727618,33.114203543928,33.4609889600148,33.5767696446795,33.7194544948511,33.7786436589665,33.8994340847945,33.9883106039521,34.053437239076,34.0558493366732,34.040077929307,34.0875776973745,34.0565915205492,34.081083588459,34.0988960014844,34.027275257445,33.9293069858057,33.8968364412283,33.8736431951016,33.9562111513127,33.9074125614621,33.9209574172001,33.9654884497634,34.0163280452732,34.2864829761573,34.0586622135634,34.2598886724186,33.6328045273216,33.2921152240468,31.5143631134614,31.5621764542165,31.5249188236386,31.3558697467298,
FRA,AG.PRD.CROP.XD,98.6,91.09,100.14,90.41,91.26,93.05,101.55,101.95,103.3,106.61,103.98,95.4,103.96,89.85,106.67,99.78,96.17,93.28,100.16,103.75,98.02,100.82,97.23,96.03,105.3,103.95,90.75,103.14,95.93,98.39,89.97,96.52,94.72,,
FRA,AG.PRD.FOOD.XD,101.62,98.44,102.42,96.96,98.15,100.3,105.96,106.73,107.26,107.74,103.54,99.36,104.46,95.96,104.2,100.25,96.0,95.01,99.74,100.92,98.59,100.92,97.79,96.25,102.48,102.22,95.29,101.33,97.17,98.0,93.7,96.72,94.02,,
FRA,AG.PRD.LVSK.XD,105.47,107.32,105.36,104.94,106.52,109.05,111.38,112.62,112.12,109.31,103.28,104.21,105.22,103.26,101.4,100.93,96.0,97.21,99.42,97.83,99.43,101.15,98.64,96.66,99.19,100.2,100.61,99.19,98.61,97.44,98.02,96.97,93.18,,
FRA,NV.AGR.TOTL.ZS,2.97794544466016,2.47177542612757,2.45934288583764,2.17161277383409,2.27070751919673,2.313383133861,2.27526049667286,2.21545959227374,2.2355571969051,2.11672166680524,1.98449655121117,2.00226015670254,1.90378389721189,1.74560664256609,1.72018557547967,1.58270403235962,1.42706409375236,1.516727357675,1.42030674677991,1.23241577481447,1.50088040274637,1.55137276231397,1.52594468949115,1.36140137870511,1.46154600121993,1.50360116027898,1.33798472564444,1.43496006533197,1.53110170543578,1.40828485472535,1.4604342657704,1.46334541457898,1.72017137018833,1.48475796304424,1.29979455802577
GBR,AG.LND.ARBL.ZS,27.3632869011698,27.1442152688794,27.0904807175629,25.1767040052908,24.4326871409085,24.5360228165172,25.2056379944612,26.3216632910346,25.8463191832348,24.4574877030546,24.2880171950564,23.3579961145786,23.9160087628653,23.3910635307734,24.0524118546687,23.6804034224776,25.1891042863638,25.1519034431447,24.821229281197,25.0031000702683,24.6765593353449,25.0568346215848,25.6768486752366,25.8975736783367,25.7657173562601,24.8460298433431,24.9080746496921,25.1431380977969,24.9567536064151,25.1543768858761,24.7117025585913,24.8410870913074,24.9704873310462,24.9811581862522,
GBR,AG.PRD.CROP.XD,98.26,98.62,102.32,95.91,91.29,91.59,102.21,100.96,97.39,99.81,98.54,86.81,97.87,93.0,94.77,94.57,91.57,86.86,100.18,96.15,95.03,99.42,85.71,89.62,104.19,102.87,92.94,101.62,91.3,101.7,83.04,90.1,94.33,,
GBR,AG.PRD.FOOD.XD,97.83,98.39,100.87,97.93,98.07,98.78,98.0,97.74,97.66,97.87,95.57,88.34,93.96,91.97,92.39,93.13,92.57,90.72,94.69,92.54,94.39,96.67,90.81,92.79,100.68,101.35,97.98,102.21,99.59,104.43,98.14,100.53,101.24,,
GBR,AG.PRD.LVSK.XD,97.74,98.37,100.08,99.09,101.93,102.88,95.56,95.84,97.86,96.75,93.85,89.1,91.64,91.32,90.97,92.24,93.09,92.92,91.53,90.51,94.08,95.13,93.84,94.7,98.65,100.47,100.89,102.53,104.35,105.97,106.82,106.53,105.24,,
GBR,NV.AGR.TOTL.ZS,1.27440638130956,1.25016374315936,1.23987354389515,1.25089299086945,1.29313777851733,1.23005517468866,1.0706987343601,0.94602306218109,0.934878600404466,0.856765899800043,0.805152979066022,0.758425159620422,0.899764449050179,0.831206604029142,0.741442331384033,0.547158772249259,0.575070361550119,0.553318266269432,0.669821878060213,0.680900728162344,0.565712301782542,0.704214809469773,0.62478654917094,0.640890919985333,0.737947357586346,0.633552833586443,0.590496095532871,0.606135163563991,0.563097756036101,0.576929649470186,0.683760683760684,0.698210493866494,0.681106058275464,0.648180849687737,0.638070794582258
IRL,AG.LND.ARBL.ZS,5.72797212948178,5.68587603425751,5.70329510814342,5.86296995209755,5.81071273043983,5.75700391929162,5.86006677311656,6.16635215561039,6.47263753810422,6.77892292059805,7.08520830309189,7.39149368558572,7.52213673973,7.71127885034112,7.57221657715198,7.09377268108579,6.78008419219045,6.75642328349543,7.04964436057483,6.71490782406735,6.37015532007548,6.66482798664538,7.00551604006387,6.8811148207287,6.7525039918711,6.57570039192916,6.69182755116853,6.69182755116853,6.54666860211932,6.43054144287995,6.44505733778487,6.32893017854551,6.47408912759472,6.37247786326027,
IRL,AG.PRD.CROP.XD,95.92,95.91,99.99,85.91,91.47,93.9,107.35,94.76,93.36,98.67,99.25,100.11,94.98,100.09,113.99,92.73,86.85,84.16,94.61,83.19,85.81,99.14,85.28,96.85,101.25,103.53,95.22,99.13,73.32,90.49,79.1,95.17,99.43,,
IRL,AG.PRD.FOOD.XD,87.37,89.94,91.74,88.4,84.31,86.35,91.11,90.93,93.17,97.83,92.92,94.24,89.98,91.38,92.79,88.44,87.64,89.36,86.86,84.94,88.48,90.93,85.76,89.99,96.22,100.61,103.17,110.85,110.61,114.89,116.55,119.25,121.51,,
IRL,AG.PRD.LVSK.XD,86.57,89.5,90.71,88.76,83.47,85.44,89.01,90.39,93.07,97.61,92.07,93.44,89.33,90.26,90.09,87.92,87.78,90.04,85.94,85.26,88.91,89.98,85.97,89.2,95.61,100.23,104.16,112.25,114.36,117.87,120.28,121.26,123.24,,
IRL,NV.AGR.TOTL.ZS,,,,,,5.58019048648672,4.69011481893998,3.90674426489094,3.47535460725289,2.57229167369639,2.50492903890048,1.99385983232223,1.7353084894094,1.48000381983801,1.57408727204836,1.03354966551094,0.921152718855531,1.04322286551282,0.850028643552735,0.557956348121,0.955429971049666,1.20481169133057,0.98628534243733,1.07000530417849,1.21732475012945,0.86869465225802,0.925941331563359,1.11981590911886,0.928168981879793,0.953896616119834,1.00897235932956,1.03312440304987,1.17281530326124,0.846910710164401,1.02114448018423
ITA,AG.LND.ARBL.ZS,30.6415966815137,30.2607867804563,29.7507735201115,29.0707558396518,28.3193363027439,28.1629322362381,28.3295365679508,28.0609295841692,28.3193363027439,29.0537553976403,28.672586721133,28.1991627158306,28.0233195138612,26.9141547014385,26.981786702196,26.3088482946591,24.942681879358,24.2494538715939,25.3552370839787,23.6069498643978,23.8132274667081,22.7243522545127,24.0702290695866,23.0861834585653,22.7514050548157,22.3219418500058,22.6465754536416,22.779370887129,22.7344970546264,23.3810805601301,24.3456209822229,24.3232955832773,23.9567056675233,23.9567056675233,
ITA,AG.PRD.CROP.XD,101.39,118.57,119.0,113.74,112.01,108.84,112.79,109.57,111.93,121.3,116.25,113.23,107.89,104.1,124.07,118.73,112.64,108.89,111.5,112.97,108.31,108.45,100.58,100.67,95.4,103.06,101.54,96.92,95.4,93.87,97.24,95.16,93.95,,
ITA,AG.PRD.FOOD.XD,102.46,113.57,114.82,111.84,110.88,110.07,113.06,110.99,111.31,119.0,115.2,112.89,109.62,105.8,119.09,115.37,110.56,109.17,112.22,112.02,108.51,107.71,103.35,101.77,95.58,102.55,101.88,97.96,99.17,98.46,99.92,99.4,96.97,,
ITA,AG.PRD.LVSK.XD,107.48,106.2,108.29,109.53,109.86,113.69,114.88,115.1,111.39,115.62,114.38,113.5,114.18,110.4,110.28,109.73,107.17,110.65,114.23,110.84,109.48,106.5,108.77,103.92,96.02,101.51,102.47,100.09,106.33,107.13,104.73,107.33,102.34,,
ITA,NV.AGR.TOTL.ZS,3.17863301808926,3.23538616255156,3.11425048353394,2.99504807113879,2.98808942565623,2.97421286113196,2.97232514692978,2.85874715868517,2.76539863771239,2.71812731131433,2.55763392992713,2.4818910807856,2.36532442144257,2.35238168739719,2.34229627595505,2.03006110909468,1.94158568418969,1.89414967924379,1.87300893559166,1.80208177882956,1.76928173132246,1.84910093882918,1.90886941227517,2.05779366637333,1.90848213125891,1.99152552817849,1.84915248302101,1.89343264776643,1.85755612561626,1.81866879873849,1.9280162015612,1.83339290794707,1.89037175125669,1.85975769551569,1.99727734716288
NLD,AG.LND.ARBL.ZS,27.3815165876777,26.4306872037915,26.664691943128,26.7268957345972,26.7565165876777,27.2215639810426,27.4614928909953,28.7677725118483,27.5444312796209,29.9585308056872,30.2932464454976,29.8815165876777,30.0710900473934,32.3193127962085,33.3975118483412,32.9087677725119,31.6883886255924,31.3921800947867,31.5936018957346,31.2689000889416,30.3172250222354,29.8339264531435,29.982206405694,30.8222024339567,31.0181062629861,30.9474309474309,30.5316305316305,30.7989307989308,30.3237303237303,30.0297000297,29.8434808434808,29.7891297891298,29.8188298188298,29.96732996733,
NLD,AG.PRD.CROP.XD,84.61,81.24,92.31,91.95,86.21,88.65,93.36,88.89,75.99,96.1,95.71,87.81,90.58,87.26,97.5,91.32,87.16,92.62,95.58,99.78,97.13,103.13,96.15,97.58,102.63,99.75,97.61,107.1,93.55,104.66,103.19,103.94,100.37,,
NLD,AG.PRD.FOOD.XD,88.72,88.74,94.03,94.01,90.77,91.94,93.59,88.72,90.18,94.91,93.96,87.45,87.21,81.58,86.75,85.15,83.28,85.92,87.38,89.82,89.65,93.15,90.81,93.41,96.63,101.11,102.26,102.47,96.33,100.72,102.3,103.93,101.0,,
NLD,AG.PRD.LVSK.XD,90.37,91.66,94.66,94.76,92.52,93.17,93.61,88.62,95.78,94.41,93.21,87.27,85.87,79.32,82.44,82.67,81.71,83.24,84.09,85.84,86.65,89.15,88.67,91.73,94.24,101.64,104.12,100.6,97.35,99.06,101.86,103.83,101.16,,
NLD,NV.AGR.TOTL.ZS,4.01809303225838,3.90617455072096,3.64362824909901,3.19058691390917,3.21743824904668,3.10878945071993,2.88213147987257,2.97435481253043,2.56560268869083,2.33896554268428,2.31074921880356,2.23546975717531,2.0874883923476,2.06777613560665,1.87462493392253,1.87119658954082,1.95984638535758,1.83180121231584,1.65239006969149,1.56591919996572,1.78780819318779,1.59844393327571,1.69697006526574,1.84474290341919,1.80098935055634,1.80598562591626,1.86399139098136,1.96787421373596,1.75987236955923,1.7588069903961,1.73737205482673,1.65464640233302,1.64194723390554,1.75149243000648,1.72968455863421
USA,AG.LND.ARBL.ZS,20.2696812738564,20.2646151964852,20.085293526776,19.9457143605824,19.8523194773206,19.8472533999493,19.532872727908,19.3952588503498,19.301754784386,19.1641409068278,19.1528849848067,19.151313261849,18.8799945862876,18.6342900833013,18.3928163529042,18.1487285416157,17.9130815374943,17.6588154011386,17.5380978571007,17.3860510613922,17.2358768155392,17.0864234286826,16.9341433431503,16.9903285735213,17.0496535963146,17.103561900514,17.154019176992,17.2100806566223,17.0873260438462,16.9548167680067,16.8248090718476,16.6944952784501,16.5679749153313,16.5689915954444,
USA,AG.PRD.CROP.XD,67.17,65.11,73.53,62.86,78.65,67.22,74.56,78.1,77.55,77.8,79.88,77.73,74.57,77.93,87.3,84.04,80.84,86.81,86.09,89.74,89.55,87.0,85.99,92.94,97.81,95.48,106.71,100.53,100.21,93.68,98.43,101.0,92.96,,
USA,AG.PRD.FOOD.XD,68.39,67.32,73.34,67.26,76.99,71.5,76.5,79.11,80.09,81.01,83.01,81.64,80.45,83.12,87.94,85.66,84.46,89.61,91.21,93.04,92.24,91.37,90.89,95.8,98.13,97.01,104.86,101.95,103.19,99.64,103.12,104.57,100.86,,
USA,AG.PRD.LVSK.XD,72.17,73.26,75.22,75.59,77.75,79.65,81.7,82.96,84.27,86.8,88.49,89.11,89.46,91.4,91.39,90.6,91.47,94.39,96.98,96.14,96.27,97.75,98.43,98.78,98.95,98.65,102.4,105.17,107.78,109.32,108.77,110.06,110.55,,
USA,NV.AGR.TOTL.ZS,,,,,,,,1.33691171038169,1.21399691075917,1.15124101558576,1.15055536360653,1.1292569744094,0.973711859673977,1.12104760396265,1.26548363027696,1.1505065593333,1.00948718664602,1.07512397740734,1.05300059714298,0.960285892029002,1.02943733820679,1.20055910284662,1.14932964297306,1.32108416447024,1.17206510494526,1.03393378310334,0.942644552842604,0.946868677532138,0.903900642655548,0.838812891431208,0.948847431791134,0.959566656543433,,,
